route_id,step_id,occurrence_id,subleaf_id,payload_field,ast_path,expected_expr,ast_node_hash
flrw_route_A_named_subleaves_expand_then_cancel,A1,flrw_route_A_named_subleaves_expand_then_cancel.A1.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,$,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",c641a6526b60fee3
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,$,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",c641a6526b60fee3
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ02.partial_time_derivative,flrw.divergence.expanded_nu0,partial_G00_expr,$.terms[0],"diff(3*H**2, t)",9374cfb6031a0d74
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ03.connection_trace_factor,flrw.connection.gamma_trace_0,gamma_trace_0_expr,$.terms[1].factors[0:2],3*H,9d39cec93054620e
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ04.einstein_00_factor,flrw.einstein.G_contra_00,G_contra_00_expr,$.terms[1].factors[2:4],3*H**2,47c4eeba0992419b
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ05.spatial_connection_factor,flrw.connection.gamma_0ii,gamma_0ii_expr,$.terms[2].factors[1:3],H*exp(2*H*t),d4d89f2e9013d21e
flrw_route_A_named_subleaves_expand_then_cancel,A2,flrw_route_A_named_subleaves_expand_then_cancel.A2.occ06.spatial_einstein_factor,flrw.einstein.G_contra_ii,G_contra_ii_expr,$.terms[2].factors[3:6],-3*H**2*exp(-2*H*t),5459d450a0c656c5
flrw_route_B_named_subleaves_factor_first,B1,flrw_route_B_named_subleaves_factor_first.B1.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,$,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",c641a6526b60fee3
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ01.full_divergence_scalar_export,flrw.divergence.expanded_nu0,divergence_expanded_expr,$,"diff(3*H**2, t) + 3*H*3*H**2 + 3*(H*exp(2*H*t))*(-3*H**2*exp(-2*H*t))",c641a6526b60fee3
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ02.partial_time_derivative,flrw.divergence.expanded_nu0,partial_G00_expr,$.terms[0],"diff(3*H**2, t)",9374cfb6031a0d74
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ03.connection_trace_factor,flrw.connection.gamma_trace_0,gamma_trace_0_expr,$.terms[1].factors[0:2],3*H,9d39cec93054620e
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ04.einstein_00_factor,flrw.einstein.G_contra_00,G_contra_00_expr,$.terms[1].factors[2:4],3*H**2,47c4eeba0992419b
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ05.spatial_connection_factor,flrw.connection.gamma_0ii,gamma_0ii_expr,$.terms[2].factors[1:3],H*exp(2*H*t),d4d89f2e9013d21e
flrw_route_B_named_subleaves_factor_first,B2,flrw_route_B_named_subleaves_factor_first.B2.occ06.spatial_einstein_factor,flrw.einstein.G_contra_ii,G_contra_ii_expr,$.terms[2].factors[3:6],-3*H**2*exp(-2*H*t),5459d450a0c656c5
